"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","98.893.300","1,73","-2,26%"
"HAPV3","Hapvida","73.996.600","3,96","+0,51%"
"B3SA3","B3","37.532.200","11,98","+0,17%"
"CPLE6","Copel","33.423.200","9,22","-3,76%"
"PETR4","Petrobras","33.195.300","39,30","-0,73%"
"RAIZ4","Raízen","27.462.100","3,13","-4,57%"
"COGN3","Cogna","25.394.800","2,29","-1,72%"
"CVCB3","CVC","23.376.400","2,36","-4,07%"
"ABEV3","Ambev","21.019.300","12,20","+0,83%"
"BBDC4","Banco Bradesco","20.195.300","14,39","-0,07%"
"CPLE3","Copel","19.269.600","8,28","-2,82%"
"ITSA4","Itaúsa","18.931.300","10,01","+0,00%"
"ITUB4","Itaú Unibanco","18.242.800","32,80","-0,18%"
"ELET3","Eletrobras","17.852.300","38,84","-4,62%"
"CIEL3","Cielo","17.086.000","5,40","+0,19%"
"PCAR3","Grupo Pão de Açúcar","16.487.500","2,60","+0,00%"
"VALE3","Vale","16.170.900","61,86","+0,42%"
"CSAN3","Cosan","14.826.100","15,01","-3,53%"
"AMER3","Americanas","14.276.800","0,56","+0,00%"
"CSNA3","Siderúrgica Nacional","14.236.200","14,32","-0,21%"
"VIVA3","Vivara","13.133.300","23,39","-2,83%"
"HBSA3","Hidrovias do Brasil","12.694.800","4,21","+1,20%"
"MRVE3","MRV","12.163.700","7,11","+0,71%"
"AZEV4","Azevedo & Travassos","11.711.300","1,78","+5,33%"
"SLCE3","SLC Agrícola","10.414.700","18,79","-4,18%"
"CMIG4","CEMIG","9.830.900","13,11","-0,23%"
"BEEF3","Minerva","9.769.600","6,50","+0,62%"
"AZUL4","Azul","9.661.300","12,41","-2,74%"
"MULT3","Multiplan","9.480.200","25,31","+1,32%"
"EQTL3","Equatorial Energia","9.087.100","31,82","-0,56%"
"LREN3","Lojas Renner","8.686.900","16,69","+1,95%"
"SOMA3","Grupo Soma","8.664.600","6,44","-0,16%"
"VAMO3","Grupo Vamos","8.130.900","8,25","-1,67%"
"CMIN3","CSN Mineração","8.109.400","5,08","-0,39%"
"PRIO3","PetroRio","7.883.900","49,80","-0,78%"
"PETZ3","Petz","7.850.600","3,76","-0,79%"
"ALOS3","ALOS3","7.735.700","23,32","-0,51%"
"BRFS3","BRF","7.628.100","16,90","+0,12%"
"JBSS3","JBS","7.617.500","22,30","-0,22%"
"RAIL3","Rumo","7.614.500","22,72","+0,09%"
"PETR3","Petrobras","7.137.800","40,63","-0,90%"
"RDOR3","Rede D'Or","6.828.900","24,55","-0,65%"
"USIM5","Usiminas","6.640.800","10,27","-0,87%"
"STBP3","Santos Brasil","6.537.700","13,25","-3,43%"
"BBSE3","BB Seguridade","6.472.000","33,38","+0,94%"
"CCRO3","Grupo CCR","6.317.500","13,57","-1,09%"
"LWSA3","Locaweb","6.281.900","5,46","+0,74%"
"SUZB3","Suzano","6.222.300","61,21","-0,89%"
"BBAS3","Banco do Brasil","6.206.100","57,74","+0,24%"
"QUAL3","Qualicorp","6.041.400","1,56","-1,27%"
"ENEV3","Eneva","5.988.400","12,70","-1,01%"
"RRRP3","3R Petroleum","5.960.900","36,26","+2,57%"
"SMTO3","São Martinho","5.768.100","30,71","-1,88%"
"NTCO3","Natura","5.709.900","17,27","-1,31%"
"ASAI3","Assaí","5.555.400","14,18","-0,42%"
"ALPA4","Alpargatas","5.461.900","9,36","+2,07%"
"CYRE3","Cyrela","5.429.800","23,89","+1,10%"
"GFSA3","Gafisa","5.405.300","6,33","-8,26%"
"MRFG3","Marfrig","5.403.000","10,37","-0,67%"
"BHIA3","Casas Bahia","5.381.000","7,01","+1,59%"
"RENT3","Localiza","5.160.500","53,28","-0,58%"
"VBBR3","Vibra Energia","5.046.100","25,45","-0,24%"
"CRFB3","Carrefour Brasil","4.930.400","12,60","-2,55%"
"GGBR4","Gerdau","4.800.100","22,87","+0,09%"
"TEND3","Construtora Tenda","4.661.900","13,06","-4,53%"
"POMO4","Marcopolo","4.356.000","7,62","+0,40%"
"RADL3","RaiaDrogasil","4.327.800","26,35","-0,11%"
"ENAT3","Enauta","4.314.300","28,83","+2,31%"
"IFCM3","Infracommerce","4.293.700","0,85","-2,30%"
"MLAS3","Multilaser","4.285.300","2,40","+3,90%"
"SEQL3","Sequoia Logística","4.219.800","0,31","+0,00%"
"GOAU4","Metalúrgica Gerdau","4.134.700","10,75","+0,37%"
"WEGE3","WEG","4.130.600","38,24","-0,42%"
"FLRY3","Fleury","4.111.900","14,80","+0,68%"
"TIMS3","TIM","4.106.400","17,46","-1,85%"
